id,artist,title,label,category,format,price,item_url,thumb_url
116,Unknown Artist,Intergalactic Acid EP,Likemind,techno,12inch,23.99,https://clone.nl//item62966.html,https://clone.nl/platen/artwork/large/plaatimage62274.jpg
117,IMOGEN & Ben Pest,Volts,Cultivated Electronics,techno,12inch,14.99,https://clone.nl//item62964.html,https://clone.nl/platen/artwork/large/plaatimage62272.jpg
118,Various Artists,Murder 01,Clone Classic Cuts,techno,12inch,23.99,https://clone.nl//item62962.html,https://clone.nl/platen/artwork/large/plaatimage62270.jpg
119,Paul Roux,No Doubt,Clone Classic Cuts,techno,12inch,14.99,https://clone.nl//item62960.html,https://clone.nl/platen/artwork/large/plaatimage62268.jpg
120,Oxygeno,Everything Ends In Silence,Mindri,techno,12inch,10.99,https://clone.nl//item62954.html,https://clone.nl/platen/artwork/large/plaatimage62262.jpg
121,Simone Giudice,Materia,Clone Classic Cuts,techno,2LP,12.99,https://clone.nl//item62953.html,https://clone.nl/platen/artwork/large/plaatimage62261.jpg
122,Reeko,Dogma EP,Clone Classic Cuts,techno,12inch,12.49,https://clone.nl//item62952.html,https://clone.nl/platen/artwork/large/plaatimage62260.jpg
123,Scarlit Port,Heavenly Ruins,Clone Classic Cuts,techno,12inch + Download,23.99,https://clone.nl//item62949.html,https://clone.nl/platen/artwork/large/plaatimage62257.jpg
124,S.B. Project,Messages,Clone Classic Cuts,techno,12inch,69.99,https://clone.nl//item62948.html,https://clone.nl/platen/artwork/large/plaatimage62256.jpg
125,Frequency,Panic Mode EP,Clone Classic Cuts,techno,12inch,13.99,https://clone.nl//item62935.html,https://clone.nl/platen/artwork/large/plaatimage62243.jpg
126,Blawan,Make A Goose,Clone Classic Cuts,techno,12inch,31.99,https://clone.nl//item62934.html,https://clone.nl/platen/artwork/large/plaatimage62242.jpg
127,Kai van Dongen,I Feel You EP,Disco Inferno,techno,12inch,12.99,https://clone.nl//item62927.html,https://clone.nl/platen/artwork/large/plaatimage62235.jpg
128,Asquith,Love Is A Mystery EP,Avoidance,techno,12inch,9.99,https://clone.nl//item62925.html,https://clone.nl/platen/artwork/large/plaatimage62233.jpg
129,Adam Pits,Piston Pump,Speed Dial,techno,12inch,10.99,https://clone.nl//item62924.html,https://clone.nl/platen/artwork/large/plaatimage62232.jpg
130,Orbet,Annything EP,Euromantic,techno,12inch,29.99,https://clone.nl//item62923.html,https://clone.nl/platen/artwork/large/plaatimage62230.jpg
131,Viceversa,VIV EP (Incl. Cosmjn Remix),Oraculo,techno,12inch,9.99,https://clone.nl//item62921.html,https://clone.nl/platen/artwork/large/plaatimage62229.jpg
132,Omar S,Record Packer Soundtrack Part 4,Oraculo,techno,7inch,14.49,https://clone.nl//item62909.html,https://clone.nl/platen/artwork/large/plaatimage62217.jpg
133,Noiro,Mindhelmet 03,Running Back,techno,Mini-LP,28.99,https://clone.nl//item62903.html,https://clone.nl/platen/artwork/large/plaatimage62203.jpg
134,Dold & Blue Hour,ASR020,Oraculo,techno,12inch,11.49,https://clone.nl//item62877.html,https://clone.nl/platen/artwork/large/plaatimage62185.jpg
135,Fractions,Violent Eyes,Were Going Deep,techno,LP,13.99,https://clone.nl//item62876.html,https://clone.nl/platen/artwork/large/plaatimage62182.jpg
